goos,goarch,cpu,cell,goyara_mb_s,yarax_mb_s,ratio,goyara_b_op,yarax_b_op,goyara_allocs_op,yarax_allocs_op,matched_rules,match_fingerprint
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_dense/match_dense/16KiB,143.090,293.750,0.487115,330193.000,1655.000,121.000,29.000,1,2582574894
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_dense/match_dense/256KiB,139.780,296.990,0.470656,7223765.000,17020.000,188.000,33.000,1,2582574894
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_dense/match_sparse/1024KiB,1498.670,897.770,1.669325,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_dense/match_sparse/16KiB,1437.950,837.350,1.717263,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_dense/match_sparse/256KiB,1518.750,886.300,1.713585,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_sparse/match_dense/1024KiB,116.280,271.630,0.428082,39295440.000,120697.000,251.000,37.000,1,2582574894
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_sparse/match_dense/16KiB,114.360,289.870,0.394522,330197.000,1657.000,121.000,29.000,1,2582574894
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_sparse/match_dense/256KiB,116.390,284.830,0.408630,8231385.000,30580.000,189.000,34.000,1,2582574894
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_sparse/match_sparse/1024KiB,669.180,486.750,1.374792,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_sparse/match_sparse/16KiB,405.400,448.720,0.903459,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_sparse/match_sparse/256KiB,660.170,444.090,1.486568,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_dense/match_dense/1024KiB,17.720,93.970,0.188571,21192456.000,120712.000,217.000,37.000,1,4032963907
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_dense/match_dense/16KiB,14.510,91.970,0.157769,205414.000,1651.000,108.000,29.000,1,4032963907
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_dense/match_dense/256KiB,18.420,91.350,0.201642,4101975.000,17000.000,164.000,33.000,1,4032963907
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_dense/match_sparse/1024KiB,693.420,964.570,0.718890,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_dense/match_sparse/16KiB,284.620,927.700,0.306802,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_dense/match_sparse/256KiB,636.900,949.720,0.670619,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_sparse/match_dense/1024KiB,19.010,90.060,0.211082,21324296.000,120687.000,218.000,37.000,1,4032963907
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_sparse/match_dense/16KiB,23.390,86.050,0.271819,205465.000,1647.000,108.000,29.000,1,4032963907
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_sparse/match_dense/256KiB,22.850,89.870,0.254256,4213809.000,30564.000,167.000,34.000,1,4032963907
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_sparse/match_sparse/1024KiB,514.350,396.070,1.298634,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_sparse/match_sparse/16KiB,316.830,376.020,0.842588,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_regex/punct_sparse/match_sparse/256KiB,484.860,378.890,1.279685,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),literal_set/punct_dense/match_dense/1024KiB,328.950,932.240,0.352860,11329441.000,481887.000,87.000,106.000,1,1096367365
darwin,arm64,Apple M1 (Virtual),literal_set/punct_dense/match_dense/16KiB,341.230,837.540,0.407419,98192.000,5730.000,44.000,74.000,1,1096367365
darwin,arm64,Apple M1 (Virtual),literal_set/punct_dense/match_dense/256KiB,361.100,999.120,0.361418,2121644.000,67169.000,66.000,90.000,1,1096367365
darwin,arm64,Apple M1 (Virtual),literal_set/punct_dense/match_sparse/1024KiB,3361.390,8404.300,0.399961,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),literal_set/punct_dense/match_sparse/16KiB,2930.270,7582.890,0.386432,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),literal_set/punct_dense/match_sparse/256KiB,3427.120,7594.960,0.451236,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),literal_set/punct_sparse/match_dense/1024KiB,306.850,967.390,0.317194,11362195.000,481895.000,87.000,106.000,1,1096367365
darwin,arm64,Apple M1 (Virtual),literal_set/punct_sparse/match_dense/16KiB,403.620,731.290,0.551929,98192.000,7780.000,44.000,76.000,1,1096367365
darwin,arm64,Apple M1 (Virtual),literal_set/punct_sparse/match_dense/256KiB,329.890,927.040,0.355853,2121636.000,121441.000,66.000,94.000,1,1096367365
