goos,goarch,cpu,cell,goyara_mb_s,yarax_mb_s,ratio,goyara_b_op,yarax_b_op,goyara_allocs_op,yarax_allocs_op,matched_rules,match_fingerprint
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_sparse/match_dense/256KiB,480.930,386.480,1.244385,821199.000,79741.000,25.000,36.000,1,1546895818
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_sparse/match_sparse/1024KiB,2798.150,9930.980,0.281760,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_sparse/match_sparse/16KiB,632.670,9376.860,0.067471,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_sparse/match_sparse/256KiB,2407.670,9875.580,0.243800,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_dense/match_dense/1024KiB,279.870,779.630,0.358978,4846654.000,481457.000,87.000,99.000,1,4011595811
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_dense/match_dense/16KiB,262.350,678.380,0.386730,50691.000,5294.000,46.000,67.000,1,4011595811
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_dense/match_dense/256KiB,282.110,789.210,0.357459,803547.000,66730.000,65.000,83.000,1,4011595811
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_dense/match_sparse/1024KiB,2332.140,9737.210,0.239508,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_dense/match_sparse/16KiB,2157.580,9386.300,0.229865,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_dense/match_sparse/256KiB,2323.410,9932.840,0.233912,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_sparse/match_dense/1024KiB,265.060,758.540,0.349434,4887595.000,481453.000,87.000,99.000,1,4011595811
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_sparse/match_dense/16KiB,257.760,676.060,0.381268,50669.000,5294.000,46.000,67.000,1,4011595811
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_sparse/match_dense/256KiB,265.840,768.000,0.346146,811859.000,120997.000,67.000,87.000,1,4011595811
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_sparse/match_sparse/1024KiB,1204.530,9866.940,0.122077,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_sparse/match_sparse/16KiB,1131.080,9421.000,0.120059,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_mixed_atoms/punct_sparse/match_sparse/256KiB,1202.280,10150.500,0.118445,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_no_atom/punct_dense/match_dense/1024KiB,1244.560,3292.030,0.378052,1281940.000,120678.000,34.000,37.000,1,2333437186
darwin,arm64,Apple M3 Max,regex_no_atom/punct_dense/match_dense/16KiB,1204.800,2569.950,0.468803,14214.000,1640.000,19.000,29.000,1,2333437186
darwin,arm64,Apple M3 Max,regex_no_atom/punct_dense/match_dense/256KiB,1296.680,3273.530,0.396111,213630.000,16999.000,26.000,33.000,1,2333437186
darwin,arm64,Apple M3 Max,regex_no_atom/punct_dense/match_sparse/1024KiB,2539.650,9846.420,0.257926,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_no_atom/punct_dense/match_sparse/16KiB,2434.190,9438.750,0.257893,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_no_atom/punct_dense/match_sparse/256KiB,2537.440,9893.130,0.256485,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_no_atom/punct_sparse/match_dense/1024KiB,1220.270,3223.930,0.378504,1298456.000,120683.000,35.000,37.000,1,2333437186
darwin,arm64,Apple M3 Max,regex_no_atom/punct_sparse/match_dense/16KiB,1178.330,2539.790,0.463948,14209.000,1639.000,19.000,29.000,1,2333437186
darwin,arm64,Apple M3 Max,regex_no_atom/punct_sparse/match_dense/256KiB,1277.780,3141.330,0.406764,221739.000,30564.000,27.000,34.000,1,2333437186
darwin,arm64,Apple M3 Max,regex_no_atom/punct_sparse/match_sparse/1024KiB,3643.880,9837.410,0.370411,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_no_atom/punct_sparse/match_sparse/16KiB,3371.610,9362.740,0.360109,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_no_atom/punct_sparse/match_sparse/256KiB,3612.420,10025.170,0.360335,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_dense/match_dense/1024KiB,362.230,426.320,0.849667,2394331.000,259961.000,28.000,39.000,1,1968263855
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_dense/match_dense/16KiB,249.350,402.120,0.620089,25485.000,2671.000,18.000,30.000,1,1968263855
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_dense/match_dense/256KiB,349.880,428.020,0.817438,525688.000,51056.000,23.000,35.000,1,1968263855
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_dense/match_sparse/1024KiB,3482.060,9876.610,0.352556,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_dense/match_sparse/16KiB,681.760,9403.880,0.072498,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_dense/match_sparse/256KiB,2896.750,9899.810,0.292607,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_sparse/match_dense/1024KiB,347.480,415.950,0.835389,2410766.000,259945.000,28.000,39.000,1,1968263855
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_sparse/match_dense/16KiB,246.660,403.130,0.611862,25482.000,2672.000,18.000,30.000,1,1968263855
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_sparse/match_dense/256KiB,337.750,415.990,0.811919,533938.000,51055.000,23.000,35.000,1,1968263855
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_sparse/match_sparse/1024KiB,2812.950,10006.500,0.281112,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_sparse/match_sparse/16KiB,665.960,9437.320,0.070567,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_optional_separator/punct_sparse/match_sparse/256KiB,2418.040,10173.010,0.237692,386.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_dense/match_dense/1024KiB,5.410,247.030,0.021900,1592.000,24.000,38.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_dense/match_dense/16KiB,5.310,230.860,0.023001,1592.000,24.000,38.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_dense/match_dense/256KiB,5.410,245.750,0.022014,1592.000,24.000,38.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_dense/match_sparse/1024KiB,72127.090,9674.580,7.455320,1080.000,24.000,6.000,1.000,0,0
